id,regionParent,regionChild,nx,ny,midLandCode,midTempCode
1,서울특별시,종로구 중구,60,127,11B00000,11B10101
2,서울특별시,용산구,60,126,11B00000,11B10101
3,서울특별시,성동구 성북구 동대문구,61,127,11B00000,11B10101
4,서울특별시,광진구,62,126,11B00000,11B10101
5,서울특별시,중랑구,62,128,11B00000,11B10101
6,서울특별시,강북구,61,128,11B00000,11B10101
7,서울특별시,도봉구 노원구,61,129,11B00000,11B10101
8,서울특별시,은평구 서대문구 마포구,59,127,11B00000,11B10101
9,서울특별시,양천구 강서구 영등포구,58,126,11B00000,11B10101
10,서울특별시,구로구,58,125,11B00000,11B10101
11,서울특별시,금천구,59,124,11B00000,11B10101
12,서울특별시,동작구 관악구,59,125,11B00000,11B10101
13,서울특별시,서초구,61,125,11B00000,11B10101
14,서울특별시,강남구,61,126,11B00000,11B10101
15,서울특별시,송파구 강동구,62,126,11B00000,11B10101
16,부산광역시,중구 서구,97,74,11H20000,11H20201
17,부산광역시,서구,97,74,11H20000,11H20201
18,부산광역시,동구,98,75,11H20000,11H20201
19,부산광역시,영도구,98,74,11H20000,11H20201
20,부산광역시,부산진구,97,75,11H20000,11H20201
21,부산광역시,동래구,98,76,11H20000,11H20201
22,부산광역시,남구,98,75,11H20000,11H20201
23,부산광역시,북구,96,76,11H20000,11H20201
24,부산광역시,해운대구,99,75,11H20000,11H20201
25,부산광역시,사하구,96,74,11H20000,11H20201
26,부산광역시,금정구,98,77,11H20000,11H20201
27,부산광역시,강서구,96,76,11H20000,11H20201
28,부산광역시,연제구,98,76,11H20000,11H20201
29,부산광역시,수영구,99,75,11H20000,11H20201
30,부산광역시,사상구,96,75,11H20000,11H20201
31,부산광역시,기장군,100,77,11H20000,11H20201
32,대구광역시,수성구,89,90,11H10000,11H10701
33,대구광역시,달서구,88,90,11H10000,11H10701
34,대구광역시,달성군,86,88,11H10000,11H10701
35,인천광역시,미추홀구,54,124,11B00000,11B20201
36,인천광역시,연수구,55,123,11B00000,11B20201
37,인천광역시,남동구,56,124,11B00000,11B20201
38,인천광역시,부평구,55,125,11B00000,11B20201
39,인천광역시,계양구,56,126,11B00000,11B20201
40,인천광역시,강화군,51,130,11B00000,11B20201
41,인천광역시,옹진군,54,124,11B00000,11B20201
42,광주광역시,광산구,57,74,11F20000,11F20501
43,대전광역시,유성구,67,101,11C20000,11C20401
44,대전광역시,대덕구,68,100,11C20000,11C20401
45,울산광역시,울주군,101,84,11H20000,11H20101
46,세종특별자치시,세종특별자치시,66,103,11C20000,11C20404
47,경기도,수원시장안구,60,121,11B00000,11B20601
48,경기도,수원시권선구,60,120,11B00000,11B20601
49,경기도,수원시팔달구,61,121,11B00000,11B20601
50,경기도,수원시영통구,61,120,11B00000,11B20601
51,경기도,성남시수정구 중원구,63,124,11B00000,11B20601
52,경기도,성남시중원구,63,124,11B00000,11B20601
53,경기도,성남시분당구,62,123,11B00000,11B20601
54,경기도,의정부시,61,130,11B00000,11B10101
55,경기도,안양시만안구 동안구,59,123,11B00000,11B10101
56,경기도,부천시,56,125,11B00000,11B20201
57,경기도,광명시,58,125,11B00000,11B10101
58,경기도,평택시,62,114,11B00000,11B20601
59,경기도,동두천시,61,134,11B00000,11B20305
60,경기도,안산시상록구,58,121,11B00000,11B20601
61,경기도,안산시단원구,57,121,11B00000,11B20601
62,경기도,고양시덕양구,57,128,11B00000,11B20305
63,경기도,고양시일산동구,56,129,11B00000,11B20305
64,경기도,고양시일산서구,56,129,11B00000,11B20305
65,경기도,과천시,60,124,11B00000,11B20601
66,경기도,구리시,62,127,11B00000,11B10101
67,경기도,남양주시,64,128,11B00000,11B10101
68,경기도,오산시,62,118,11B00000,11B20601
69,경기도,시흥시,57,123,11B00000,11B20601
70,경기도,군포시,59,122,11B00000,11B20601
71,경기도,의왕시,60,122,11B00000,11B20601
72,경기도,하남시,64,126,11B00000,11B20701
73,경기도,용인시처인구,64,119,11B00000,11B20701
74,경기도,용인시기흥구,62,120,11B00000,11B20701
75,경기도,용인시수지구,62,121,11B00000,11B20701
76,경기도,파주시,56,131,11B00000,11B20305
77,경기도,이천시,68,121,11B00000,11B20701
78,경기도,안성시,65,115,11B00000,11B20601
79,경기도,김포시,55,128,11B00000,11B20201
80,경기도,화성시,57,119,11B00000,11B20601
81,경기도,광주시,65,123,11B00000,11B20201
82,경기도,양주시,61,131,11B00000,11B20305
83,경기도,포천시,64,134,11B00000,11B20305
84,경기도,여주시,71,121,11B00000,11B20201
85,경기도,연천군,61,138,11B00000,11B20305
86,경기도,가평군,69,133,11B00000,11D10301
87,경기도,양평군,69,125,11B00000,11D10301
88,충청북도,청주시상당구,69,106,11C10000,11C10301
89,충청북도,청주시서원구,69,107,11C10000,11C10301
90,충청북도,청주시흥덕구,67,106,11C10000,11C10301
91,충청북도,청주시청원구,69,107,11C10000,11C10301
92,충청북도,충주시,76,114,11C10000,11C10101
93,충청북도,제천시,81,118,11C10000,11C10101
94,충청북도,보은군,73,103,11C10000,11C10301
95,충청북도,옥천군,71,99,11C10000,11C10402
96,충청북도,영동군,74,97,11C10000,11C10402
97,충청북도,증평군,71,110,11C10000,11C10301
98,충청북도,진천군,68,111,11C10000,11C10301
99,충청북도,괴산군,74,111,11C10000,11C10101
100,충청북도,음성군,72,113,11C10000,11C10101
101,충청북도,단양군,84,115,11C10000,11C10101
102,충청남도,천안시동남구,63,110,11C20000,11C20401
103,충청남도,천안시서북구,63,112,11C20000,11C20404
104,충청남도,공주시,63,102,11C20000,11C20404
105,충청남도,보령시,54,100,11C20000,11C20104
106,충청남도,아산시,60,110,11C20000,11C20104
107,충청남도,서산시,51,110,11C20000,11C20104
108,충청남도,논산시,62,97,11C20000,11C20404
109,충청남도,계룡시,65,99,11C20000,11C20404
110,충청남도,당진시,54,112,11C20000,11C20104
111,충청남도,금산군,69,95,11C20000,11C20404
112,충청남도,부여군,59,99,11C20000,11C20104
113,충청남도,서천군,55,94,11C20000,11C20104
114,충청남도,청양군,57,103,11C20000,11C20104
115,충청남도,홍성군,55,106,11C20000,11C20104
116,충청남도,예산군,58,107,11C20000,11C20104
117,충청남도,태안군,48,109,11C20000,11C20104
118,전라북도,전주시완산구 덕진구,63,89,11F10000,11F10201
119,전라북도,군산시,56,92,11F10000,11F10201
120,전라북도,익산시,60,91,11F10000,11F10201
121,전라북도,정읍시,58,83,11F10000,11F10201
122,전라북도,남원시,68,80,11F10000,11F10201
123,전라북도,김제시,59,88,11F10000,11F10201
124,전라북도,완주군,63,89,11F10000,11F10201
125,전라북도,진안군,68,88,11F10000,11F10201
126,전라북도,무주군,72,93,11F10000,11F10201
127,전라북도,장수군,70,85,11F10000,11F10201
128,전라북도,임실군,66,84,11F10000,11F10201
129,전라북도,순창군,63,79,11F10000,11F10201
130,전라북도,고창군,56,80,11F10000,11F10201
131,전라북도,부안군,56,87,11F10000,11F10201
132,전라남도,목포시,50,67,11F20000,21F20801
133,전라남도,여수시,73,66,11F20000,11F20603
134,전라남도,순천시,70,70,11F20000,11F20603
135,전라남도,나주시,56,71,11F20000,11F20501
136,전라남도,광양시,73,70,11F20000,11F20603
137,전라남도,담양군,61,78,11F20000,11F20501
138,전라남도,곡성군,66,77,11F20000,11F20603
139,전라남도,구례군,69,75,11F20000,11F20603
140,전라남도,고흥군,66,62,11F20000,11F20603
141,전라남도,보성군,62,66,11F20000,11F20603
142,전라남도,화순군,60,72,11F20000,11F20501
143,전라남도,장흥군,59,64,11F20000,21F20801
144,전라남도,강진군,57,63,11F20000,21F20801
145,전라남도,해남군,54,61,11F20000,21F20801
146,전라남도,영암군,56,66,11F20000,21F20801
147,전라남도,무안군,52,71,11F20000,21F20801
148,전라남도,함평군,52,72,11F20000,11F20501
149,전라남도,영광군,52,77,11F20000,11F20501
150,전라남도,장성군,57,77,11F20000,11F20501
151,전라남도,완도군,57,56,11F20000,21F20801
152,전라남도,진도군,48,59,11F20000,21F20801
153,전라남도,신안군,50,66,11F20000,21F20801
154,경상북도,포항시남구,102,94,11H10000,11H10201
155,경상북도,포항시북구,102,95,11H10000,11H10201
156,경상북도,경주시,100,91,11H10000,11H10202
157,경상북도,김천시,80,96,11H10000,11H10701
158,경상북도,안동시,91,106,11H10000,11H10202
159,경상북도,구미시,84,96,11H10000,11H10701
160,경상북도,영주시,89,111,11H10000,11H10202
161,경상북도,영천시,95,93,11H10000,11H10701
162,경상북도,상주시,81,102,11H10000,11H10202
163,경상북도,문경시,81,106,11H10000,11H10202
164,경상북도,경산시,91,90,11H10000,11H10701
165,경상북도,군위군,88,99,11H10000,11H10701
166,경상북도,의성군,90,101,11H10000,11H10501
167,경상북도,청송군,96,103,11H10000,11H10201
168,경상북도,영양군,97,108,11H10000,11H10201
169,경상북도,영덕군,102,103,11H10000,11H10201
170,경상북도,청도군,91,86,11H10000,11H10701
171,경상북도,고령군,83,87,11H10000,11H10701
172,경상북도,성주군,83,91,11H10000,11H10701
173,경상북도,칠곡군,85,93,11H10000,11H10701
174,경상북도,예천군,86,107,11H10000,11H10202
175,경상북도,봉화군,90,113,11H10000,11H10501
176,경상북도,울진군,102,115,11H10000,11H10101
177,경상북도,울릉군,127,127,11H10000,11E001001
178,경상남도,창원시의창구,90,77,11H20000,11H20301
179,경상남도,창원시성산구,91,76,11H20000,11H20301
180,경상남도,창원시마산합포구 회원구,89,76,11H20000,11H20301
181,경상남도,창원시진해구,91,75,11H20000,11H20301
182,경상남도,진주시,81,75,11H20000,11H20701
183,경상남도,통영시,87,68,11H20000,11H20701
184,경상남도,사천시,80,71,11H20000,11H20701
185,경상남도,김해시,95,77,11H20000,11H20301
186,경상남도,밀양시,92,83,11H20000,11H20301
187,경상남도,거제시,90,69,11H20000,11H20301
188,경상남도,양산시,97,79,11H20000,11H20301
189,경상남도,의령군,83,78,11H20000,11H20701
190,경상남도,함안군,86,77,11H20000,11H20701
191,경상남도,창녕군,87,83,11H20000,11H20301
192,경상남도,고성군,85,71,11H20000,11H20701
193,경상남도,남해군,77,68,11H20000,11H20701
194,경상남도,하동군,74,73,11H20000,11H20701
195,경상남도,산청군,76,80,11H20000,11H20701
196,경상남도,함양군,74,82,11H20000,11H20701
197,경상남도,거창군,77,86,11H20000,11H20701
198,경상남도,합천군,81,84,11H20000,11H20701
199,제주특별자치도,제주시,53,38,11G00000,11G00201
200,제주특별자치도,서귀포시,52,33,11G00000,11G00401
201,강원특별자치도,춘천시,73,134,11D10000,11D10301
202,강원특별자치도,원주시,76,122,11D10000,11D10401
203,강원특별자치도,강릉시,92,131,11D20000,11D20501
204,강원특별자치도,동해시,97,127,11D20000,11D20501
205,강원특별자치도,태백시,95,119,11D20000,11D20501
206,강원특별자치도,속초시,87,141,11D20000,11D20501
207,강원특별자치도,삼척시,98,125,11D20000,11D20501
208,강원특별자치도,홍천군,75,130,11D10000,11D10401
209,강원특별자치도,횡성군,77,125,11D10000,11D10401
210,강원특별자치도,영월군,86,119,11D10000,11D10401
211,강원특별자치도,평창군,84,123,11D10000,11D10401
212,강원특별자치도,정선군,89,123,11D10000,11D10401
213,강원특별자치도,철원군,65,139,11D10000,11D10301
214,강원특별자치도,화천군,72,139,11D10000,11D10301
215,강원특별자치도,양구군,77,139,11D10000,11D10301
216,강원특별자치도,인제군,80,138,11D10000,11D10301
217,강원특별자치도,양양군,88,138,11D20000,11D20501
