id,regionParent,regionChild,nx,ny,midLandCode,midTempCode,
1,서울특별시,종로구 중구,60,127,1,11,
2,서울특별시,용산구,60,126,1,11,
3,서울특별시,성동구 성북구 동대문구,61,127,1,11,
4,서울특별시,광진구,62,126,1,11,
5,서울특별시,중랑구,62,128,1,11,
6,서울특별시,강북구,61,128,1,11,
7,서울특별시,도봉구 노원구,61,129,1,11,
8,서울특별시,은평구 서대문구 마포구,59,127,1,11,
9,서울특별시,양천구 강서구 영등포구,58,126,1,11,
10,서울특별시,구로구,58,125,1,11,
11,서울특별시,금천구,59,124,1,11,
12,서울특별시,동작구 관악구,59,125,1,11,
13,서울특별시,서초구,61,125,1,11,
14,서울특별시,강남구,61,126,1,11,
15,서울특별시,송파구 강동구,62,126,1,11,
16,부산광역시,중구 서구,97,74,7,71,
17,부산광역시,서구,97,74,7,71,
18,부산광역시,동구,98,75,7,71,
19,부산광역시,영도구,98,74,7,71,
20,부산광역시,부산진구,97,75,7,71,
21,부산광역시,동래구,98,76,7,71,
22,부산광역시,남구,98,75,7,71,
23,부산광역시,북구,96,76,7,71,
24,부산광역시,해운대구,99,75,7,71,
25,부산광역시,사하구,96,74,7,71,
26,부산광역시,금정구,98,77,7,71,
27,부산광역시,강서구,96,76,7,71,
28,부산광역시,연제구,98,76,7,71,
29,부산광역시,수영구,99,75,7,71,
30,부산광역시,사상구,96,75,7,71,
31,부산광역시,기장군,100,77,7,71,
32,대구광역시,수성구,89,90,6,61,
33,대구광역시,달서구,88,90,6,61,
34,대구광역시,달성군,86,88,6,61,
35,인천광역시,미추홀구,54,124,1,12,
36,인천광역시,연수구,55,123,1,12,
37,인천광역시,남동구,56,124,1,12,
38,인천광역시,부평구,55,125,1,12,
39,인천광역시,계양구,56,126,1,12,
40,인천광역시,강화군,51,130,1,12,
41,인천광역시,옹진군,54,124,1,12,
42,광주광역시,광산구,57,74,5,51,
43,대전광역시,유성구,67,101,3,31,
44,대전광역시,대덕구,68,100,3,31,
45,울산광역시,울주군,101,84,7,72,
46,세종특별자치시,세종특별자치시,66,103,3,32,
47,경기도,수원시장안구,60,121,1,14,
48,경기도,수원시권선구,60,120,1,14,
49,경기도,수원시팔달구,61,121,1,14,
50,경기도,수원시영통구,61,120,1,14,
51,경기도,성남시수정구 중원구,63,124,1,14,
52,경기도,성남시중원구,63,124,1,14,
53,경기도,성남시분당구,62,123,1,14,
54,경기도,의정부시,61,130,1,11,
55,경기도,안양시만안구 동안구,59,123,1,11,
56,경기도,부천시,56,125,1,12,
57,경기도,광명시,58,125,1,11,
58,경기도,평택시,62,114,1,14,
59,경기도,동두천시,61,134,1,13,
60,경기도,안산시상록구,58,121,1,14,
61,경기도,안산시단원구,57,121,1,14,
62,경기도,고양시덕양구,57,128,1,13,
63,경기도,고양시일산동구,56,129,1,13,
64,경기도,고양시일산서구,56,129,1,13,
65,경기도,과천시,60,124,1,14,
66,경기도,구리시,62,127,1,11,
67,경기도,남양주시,64,128,1,11,
68,경기도,오산시,62,118,1,14,
69,경기도,시흥시,57,123,1,14,
70,경기도,군포시,59,122,1,14,
71,경기도,의왕시,60,122,1,14,
72,경기도,하남시,64,126,1,15,
73,경기도,용인시처인구,64,119,1,15,
74,경기도,용인시기흥구,62,120,1,15,
75,경기도,용인시수지구,62,121,1,15,
76,경기도,파주시,56,131,1,13,
77,경기도,이천시,68,121,1,15,
78,경기도,안성시,65,115,1,14,
79,경기도,김포시,55,128,1,12,
80,경기도,화성시,57,119,1,14,
81,경기도,광주시,65,123,1,12,
82,경기도,양주시,61,131,1,13,
83,경기도,포천시,64,134,1,13,
84,경기도,여주시,71,121,1,12,
85,경기도,연천군,61,138,1,13,
86,경기도,가평군,69,133,1,81,
87,경기도,양평군,69,125,1,81,
88,충청북도,청주시상당구,69,106,2,21,
89,충청북도,청주시서원구,69,107,2,21,
90,충청북도,청주시흥덕구,67,106,2,21,
91,충청북도,청주시청원구,69,107,2,21,
92,충청북도,충주시,76,114,2,22,
93,충청북도,제천시,81,118,2,22,
94,충청북도,보은군,73,103,2,21,
95,충청북도,옥천군,71,99,2,23,
96,충청북도,영동군,74,97,2,23,
97,충청북도,증평군,71,110,2,21,
98,충청북도,진천군,68,111,2,21,
99,충청북도,괴산군,74,111,2,22,
100,충청북도,음성군,72,113,2,22,
101,충청북도,단양군,84,115,2,22,
102,충청남도,천안시동남구,63,110,3,31,
103,충청남도,천안시서북구,63,112,3,32,
104,충청남도,공주시,63,102,3,32,
105,충청남도,보령시,54,100,3,33,
106,충청남도,아산시,60,110,3,33,
107,충청남도,서산시,51,110,3,33,
108,충청남도,논산시,62,97,3,32,
109,충청남도,계룡시,65,99,3,32,
110,충청남도,당진시,54,112,3,33,
111,충청남도,금산군,69,95,3,32,
112,충청남도,부여군,59,99,3,33,
113,충청남도,서천군,55,94,3,33,
114,충청남도,청양군,57,103,3,33,
